age,money,salary,gender,product
59,3045900000,304590000,0,01020400620001;01012000200000000003;10521001000846001;01020400490001
56,58500000,20000000,0,01030500560002;01030500510002;WR0001B
41,1651000000,165100000,1,21001236
55,3218800000,321880000,1,10-047-1387-0001;220002701;TD11330032000
54,239200000,23920000,1,1.05E+16
42,0,20000000,0,00320342;TD11300027000;WR0001B;10-01-20-024-0059-0000
56,1079000000,107900000,1,TD11330030000;21001259;21001199
60,708500000,70850000,1,10-003-1381-0001;10120114700011;05100;WR0001F
37,1300000,20000000,0,01030500560002;WR0001B;TD11300031000
28,6617000000,500000000,0,01020400380001;10141114700031;01020400610001
38,130000000,20000000,0,TD11300031000;TD11300027000
30,401700000,40170000,0,TD11300035000;200000303;21001203
29,258700000,25870000,1,01030500600002;21001115
46,598000000,59800000,1,WR0001F
31,913900000,91390000,0,10-003-1387-0001;10120114700011;10-003-1384-0001;200-0135-12
35,4988100000,498810000,1,1.00E+12
32,794300000,79430000,0,01013000110000000001;01211310127;10120110400011
49,-10400000,20000000,0,TD11300027000
41,71500000,20000000,1,TD11300027000;01030500510002
49,218400000,21840000,1,10-01-20-024-0059-0000;01030500510002;10511008001278000;10511008001004000
28,1020500000,102050000,1,10-01-30-031-0037-0000;01020400380001;010200100092;52
43,2687100000,268710000,0,010200100092;03010;00266451;01211210122
43,504400000,50440000,0,06492;10-003-1384-0001;10120114700011;WR0001L
43,-249600000,20000000,1,TD11300031000;10-01-20-024-0046-0000;10511008001278000
37,495300000,49530000,0,10511008001166004;200000303;10-01-20-024-0059-0000
35,52000000,20000000,1,10511008000996000;200000303;TD11300035000
31,28600000,20000000,1,TD11300036000;01030500600002
43,3900000,20000000,1,10511008000996000;01030500560002
31,399100000,39910000,1,1.05E+16
28,986700000,98670000,0,5100
32,-1300000,20000000,1,10511008001166004;21001115;TD11300036000
60,84500000,20000000,0,WR0001B;10-01-20-024-0059-0000;10511008001166004;21001203
26,106600000,20000000,0,10511008000996000;TD11300036000
40,13000000,20000000,1,TD11300036000
33,507000000,50700000,1,10120110400011;10-003-1381-0001
32,404300000,40430000,1,01211310121;TD11300036000
35,538200000,53820000,0,10-003-1225-0001;10-003-1384-0001
33,6500000,20000000,1,10511008001166004;01030500560002
38,154700000,20000000,0,00320342;01211310121;200000301
23,5200000,20000000,0,1.03E+12
60,1640600000,164060000,1,10140114300011;10-01-30-031-0018-0000;10141114300011;10-01-30-355-0002
48,2533700000,253370000,0,01020400610001;03010;21001236
45,-513500000,20000000,1,10-01-20-024-0046-0000
36,1514500000,151450000,1,1.02E+12
52,2912000000,291200000,0,03202;010200100104
35,390000000,39000000,0,01030500600002;21001115;10511008001166004
43,4270500000,427050000,0,21000111
52,5099900000,500000000,1,TD11330028000
53,1875900000,187590000,1,10-047-1365-0001;10141116600001;10140114300011
48,31200000,20000000,1,TD11300027000;00320342
41,2103400000,210340000,1,230-0119-85
39,672100000,67210000,0,4;01211310130;10120114700011;10120114300011
59,1977300000,197730000,0,1.00E+12
41,3669900000,366990000,1,01020400610001;1001303001004;010200100092
48,1826500000,182650000,1,10521001001177000;1001303001004;21000111
40,1995500000,199550000,0,1.05E+16
48,2074800000,207480000,0,1.00E+12
60,2004600000,200460000,1,21001199
40,4747600000,474760000,0,10527001001272000;01020400490002;010200100092;10-047-1360-0002
57,-1300000,20000000,0,320342
51,9334000000,500000000,1,21001259;10141109800021;01020400620001
41,6878300000,500000000,0,01020400380001;10-01-30-355-0005;52
41,1799200000,179920000,1,TD11330029000;01211210122;10141114700031;00266451
52,-248300000,20000000,1,200000301;01030500560002;10511008001004000
59,416000000,41600000,0,10511008001278000;21001203;01030500560002;WR0001B
44,189800000,20000000,1,1.05E+16
49,443300000,44330000,0,200000303;10511008001004000
40,-11700000,20000000,1,10511008001004000;01211310121
41,-397800000,20000000,1,200000303;10511008001166004;TD11300036000
44,5954000000,500000000,0,TD11330029000;1001303001004;10527001001278000;01211210121
60,406900000,40690000,0,1.05E+16
29,13748800000,500000000,1,1.05E+16
41,-302900000,20000000,0,WR0001B
41,3188900000,318890000,1,01211210113;21001116;01020400610001
42,1773200000,177320000,1,52
36,365300000,36530000,1,10511008001278000;10511008000996000;WR0001B;200000303
39,122200000,20000000,0,10511008001278000;01030500600002;21001203
31,187200000,20000000,1,1.05E+16
26,319800000,31980000,1,01211310121;21001203;200000303
31,119600000,20000000,0,1.03E+12
29,211900000,21190000,0,TD11300027000;21001203;01030500560002;01030500510002
37,63700000,20000000,1,WR0001B;01030500510002;10511008001004000
33,-540800000,20000000,1,10511008001278000;10-01-20-024-0059-0000;TD11300035000;10511008000996000
24,531700000,53170000,0,1.01E+18
50,471900000,47190000,1,10511008001166004;01030500560002
27,4817800000,481780000,1,01211210121;10141114700031;TD11330029000
54,5710900000,500000000,1,01020400490001;01012000200000000003
30,1121900000,112190000,0,1211210122
34,903500000,90350000,1,1.01E+13
37,1029600000,102960000,0,1.00E+12
41,1326000000,132600000,1,1211210113
47,1121900000,112190000,0,10-047-1360-0002;10141114700031
31,126100000,20000000,0,WR0001B
31,980200000,98020000,0,1001202000002;10-01-20-388-0002
43,1352000000,135200000,0,21001236;10521001001177000;10-047-1360-0002
37,158600000,20000000,1,TD11300035000;10-01-20-024-0046-0000;200000303;TD11300027000
30,1144000000,114400000,0,10-01-30-031-0037-0000;10527001001272000;10140110400011;21000111
41,651300000,65130000,1,10120114300011;010300100335;1001202000002
36,5769400000,500000000,0,1.02E+12
35,0,20000000,1,200000303;TD11300031000;TD11300027000
29,352300000,35230000,1,01030500510002;10511008001004000
35,132600000,20000000,1,TD11300027000
31,2600000,20000000,1,10511008001004000;21001203;TD11300036000
35,5421000000,500000000,1,52;1001303001004
34,110500000,20000000,1,10-01-20-024-0059-0000
31,560300000,56030000,1,10-01-20-388-0002;10-003-1384-0001
44,1276600000,127660000,1,1001303001001;10527001001278000
36,530400000,53040000,1,1.01E+18
35,6268600000,500000000,0,TD11330029000;010200100092;01020400490002;01020400530001
41,1625000000,162500000,1,1.02E+12
31,280800000,28080000,0,21001115;01030500600002;10-01-20-024-0046-0000;00320342
34,1569100000,156910000,1,1.01E+13
32,1028300000,102830000,1,1001303001004;21000111;1001303001001
36,1103700000,110370000,1,01211210122;10527001001272000;10521001001177000;230-0119-85
30,310700000,31070000,0,WR0001B
37,1574300000,157430000,1,3010
36,778700000,77870000,1,01211310127;10120114700011;10-003-1387-0001;1001202000002
31,1072500000,107250000,1,10-01-30-355-0005;010200100092;21000111;10527001001272000
27,2837900000,283790000,0,1001303001005;10-059-1264-0001
34,5848700000,500000000,1,10-01-30-031-0037-0000;01211210122;10140110400011
30,1675700000,167570000,1,21001236
32,6064500000,500000000,0,1.02E+12
37,4323800000,432380000,0,230-0119-85;01211210122;00266451;52
32,1017900000,101790000,1,21001236;10527001001278000
33,0,20000000,0,01211310121;21001203;WR0001B
35,1292200000,129220000,0,21001116;10527001001272000;03010
35,1760200000,176020000,0,10521001001177000;21001236;010200100092
30,310700000,31070000,1,00320342;TD11300036000;TD11300031000
45,-404300000,20000000,1,TD11300027000;01211310121
45,193700000,20000000,0,TD11300027000;21001203;01030500560002;00320342
33,1903200000,190320000,1,01211210122;01020400490002;21001236;01020400530001
44,7504900000,500000000,1,10527001000925000;10527001001278000;230-0119-85
40,361400000,36140000,1,TD11300036000;01030500560002;21001115
31,3783000000,378300000,1,230-0119-85;220002301;10-047-1360-0002;21001236
30,703300000,70330000,1,10-003-1381-0001
44,1640600000,164060000,1,1.01E+13
34,-699400000,20000000,1,21001203;01030500510002
37,162500000,20000000,0,200000301;10511008001004000;TD11300027000;21001203
28,0,20000000,0,WR0001B;10-01-20-024-0046-0000
32,806000000,80600000,1,4;10120114300011;10-003-1387-0001
37,410800000,41080000,0,21001203;10511008001004000;01030500510002;01211310121
34,2973100000,297310000,1,10-01-30-031-0037-0000;10-01-30-355-0005;1001303001005;03010
38,257400000,25740000,0,200000301
28,598000000,59800000,0,WR0001F;010300100335;05100;10120114700011
31,1488500000,148850000,1,10527001001272000;1001303001004;00266451;21000111
59,-28600000,20000000,0,10511008000996000;10511008001004000
24,890500000,89050000,0,WR0001L
26,1171300000,117130000,1,03010;01211210121
59,456300000,45630000,0,21001115;TD11300027000
30,0,20000000,0,01211310121;10-01-20-024-0046-0000
37,356200000,35620000,0,01211310121;TD11300031000;WR0001B
30,-276900000,20000000,1,10-01-20-024-0046-0000;21001115;21001203;10511008000996000
25,126100000,20000000,1,01030500560002;10511008000996000;10511008001166004;01211310121
44,66300000,20000000,0,WR0001B
29,408200000,40820000,1,TD11300036000
26,8892000000,500000000,1,01211210121;1001303001004;TD11330029000
26,868400000,86840000,1,01013000110000000001;1001202000002
27,70200000,20000000,0,00320342;TD11300031000;10511008001278000
25,1614600000,161460000,0,TD11330029000;52;01020400490002;01020400380001
28,379600000,37960000,1,21001115;TD11300036000;10511008001004000;10-01-20-024-0046-0000
23,864500000,86450000,1,WR0001L;10-003-1381-0001;05100;10-003-1387-0001
34,1375400000,137540000,1,1001303001001;10140110400011
28,1233700000,123370000,1,10521001001177000;10527001000925000
51,787800000,78780000,1,1.01E+13
35,0,20000000,0,01211310121;10511008001278000
35,525200000,52520000,0,1001202000002;WR0001F;010300100335;01211310127
56,323700000,32370000,1,01030500510002;200000303;TD11300031000
45,4360200000,436020000,1,03010;01211210113;00266451;10-047-1360-0002
60,0,20000000,1,10511008001278000;01211310121;21001115
56,765700000,76570000,1,10120114700011;10120114300011
27,16842800000,500000000,1,10141114700031;10521001001177000
30,1134900000,113490000,0,21001236;03010;01020400530001
45,772200000,77220000,1,10120116100011;01013000110000000001
29,-26000000,20000000,1,WR0001B
38,6099600000,500000000,0,03010;21000111
30,631800000,63180000,0,10120116100011;01211310127;10-003-1387-0001
44,2070900000,207090000,1,010200100092;01211210121
36,9887800000,500000000,0,10200100092
38,293800000,29380000,1,TD11300036000;21001115
36,475800000,47580000,0,TD11300035000;01030500510002;10511008001004000;01030500600002
37,20800000,20000000,1,TD11300031000;10511008001278000
35,734500000,73450000,0,4;05100
38,24700000,20000000,1,01030500560002;10-01-20-024-0059-0000;TD11300031000;10-01-20-024-0046-0000
40,1406600000,140660000,1,TD11330031000;21000111;010200100092;01211210113
42,2226900000,222690000,1,01020400530001;TD11330031000
46,18825300000,500000000,0,01020400610001;03010
35,7441200000,500000000,1,21001116
34,1886300000,188630000,0,1001303001001;21001236
32,-44200000,20000000,0,200000301
50,4776200000,477620000,0,00266451;10527001000925000;10-01-30-031-0037-0000
35,907400000,90740000,1,200-0135-12;10-003-1387-0001;10-01-20-388-0002
36,5376800000,500000000,1,010200100092;01020400610001;21001116
53,3452800000,345280000,1,10-01-30-031-0018-0000
46,3775200000,377520000,1,03010;01211210122;21001116
26,1305200000,130520000,0,21001236;10527001000925000
45,533000000,53300000,0,06492;10-003-1384-0001;10120116100011
31,0,20000000,0,1.03E+12
29,0,20000000,0,21001115;01030500560002
53,80600000,20000000,0,200000303;TD11300036000;TD11300031000;21001203
27,540800000,54080000,0,4;WR0001L;06492
39,3591900000,359190000,0,10200100092
36,3879200000,387920000,0,1211210113
41,185900000,20000000,0,10-01-20-024-0046-0000;TD11300027000;200000303
36,0,20000000,0,TD11300027000;200000301
32,904800000,90480000,0,01013000110000000001;10120114300011;WR0001F;06492
35,197600000,20000000,1,01030500510002;TD11300027000;10-01-20-024-0059-0000
36,-101400000,20000000,1,WR0001B;10-01-20-024-0046-0000;01030500510002
