age,money,gender,product,salary
59,3045900000,0,01020400620001;01012000200000000003;10521001000846001;01020400490001,156000000
56,58500000,0,01030500560002;01030500510002;WR0001B,1341000000
41,1651000000,1,21001236,139000000
55,3218800000,1,10-047-1387-0001;220002701;TD11330032000,846000000
54,239200000,1,1.05E+16,1325000000
42,0,0,00320342;TD11300027000;WR0001B;10-01-20-024-0059-0000,324000000
56,1079000000,1,TD11330030000;21001259;21001199,728000000
60,708500000,1,10-003-1381-0001;10120114700011;05100;WR0001F,1357000000
37,1300000,0,01030500560002;WR0001B;TD11300031000,696000000
28,6617000000,0,01020400380001;10141114700031;01020400610001,653000000
38,130000000,0,TD11300031000;TD11300027000,1044000000
30,401700000,0,TD11300035000;200000303;21001203,603000000
29,258700000,1,01030500600002;21001115,871000000
46,598000000,1,WR0001F,756000000
31,913900000,0,10-003-1387-0001;10120114700011;10-003-1384-0001;200-0135-12,967000000
35,4988100000,1,1.00E+12,1441000000
32,794300000,0,01013000110000000001;01211310127;10120110400011,617000000
49,10400000,0,TD11300027000,693000000
41,71500000,1,TD11300027000;01030500510002,780000000
49,218400000,1,10-01-20-024-0059-0000;01030500510002;10511008001278000;10511008001004000,1068000000
28,1020500000,1,10-01-30-031-0037-0000;01020400380001;010200100092;52,1136000000
43,2687100000,0,010200100092;03010;00266451;01211210122,1368000000
43,504400000,0,06492;10-003-1384-0001;10120114700011;WR0001L,951000000
43,249600000,1,TD11300031000;10-01-20-024-0046-0000;10511008001278000,896000000
37,495300000,0,10511008001166004;200000303;10-01-20-024-0059-0000,1418000000
35,52000000,1,10511008000996000;200000303;TD11300035000,160000000
31,28600000,1,TD11300036000;01030500600002,824000000
43,3900000,1,10511008000996000;01030500560002,32000000
31,399100000,1,1.05E+16,1204000000
28,986700000,0,5100,693000000
32,1300000,1,10511008001166004;21001115;TD11300036000,514000000
60,84500000,0,WR0001B;10-01-20-024-0059-0000;10511008001166004;21001203,1215000000
26,106600000,0,10511008000996000;TD11300036000,735000000
40,13000000,1,TD11300036000,646000000
33,507000000,1,10120110400011;10-003-1381-0001,489000000
32,404300000,1,01211310121;TD11300036000,982000000
35,538200000,0,10-003-1225-0001;10-003-1384-0001,272000000
33,6500000,1,10511008001166004;01030500560002,1311000000
38,154700000,0,00320342;01211310121;200000301,1278000000
23,5200000,0,1.03E+12,1043000000
60,1640600000,1,10140114300011;10-01-30-031-0018-0000;10141114300011;10-01-30-355-0002,1217000000
48,2533700000,0,01020400610001;03010;21001236,217000000
45,513500000,1,10-01-20-024-0046-0000,222000000
36,1514500000,1,1.02E+12,91000000
52,2912000000,0,03202;010200100104,863000000
35,390000000,0,01030500600002;21001115;10511008001166004,249000000
43,4270500000,0,21000111,83000000
52,5099900000,1,TD11330028000,526000000
53,1875900000,1,10-047-1365-0001;10141116600001;10140114300011,138000000
48,31200000,1,TD11300027000;00320342,1257000000
41,2103400000,1,230-0119-85,244000000
39,672100000,0,4;01211310130;10120114700011;10120114300011,891000000
59,1977300000,0,1.00E+12,285000000
41,3669900000,1,01020400610001;1001303001004;010200100092,1249000000
48,1826500000,1,10521001001177000;1001303001004;21000111,1278000000
40,1995500000,0,1.05E+16,1281000000
48,2074800000,0,1.00E+12,1442000000
60,2004600000,1,21001199,264000000
40,4747600000,0,10527001001272000;01020400490002;010200100092;10-047-1360-0002,188000000
57,1300000,0,320342,700000000
51,9334000000,1,21001259;10141109800021;01020400620001,1256000000
41,6878300000,0,01020400380001;10-01-30-355-0005;52,359000000
41,1799200000,1,TD11330029000;01211210122;10141114700031;00266451,309000000
52,248300000,1,200000301;01030500560002;10511008001004000,1181000000
59,416000000,0,10511008001278000;21001203;01030500560002;WR0001B,284000000
44,189800000,1,1.05E+16,58000000
49,443300000,0,200000303;10511008001004000,859000000
40,11700000,1,10511008001004000;01211310121,747000000
41,397800000,1,200000303;10511008001166004;TD11300036000,743000000
44,5954000000,0,TD11330029000;1001303001004;10527001001278000;01211210121,521000000
60,406900000,0,1.05E+16,780000000
29,13748800000,1,1.05E+16,498000000
41,302900000,0,WR0001B,237000000
41,3188900000,1,01211210113;21001116;01020400610001,1280000000
42,1773200000,1,52,1177000000
36,365300000,1,10511008001278000;10511008000996000;WR0001B;200000303,1212000000
39,122200000,0,10511008001278000;01030500600002;21001203,609000000
31,187200000,1,1.05E+16,823000000
26,319800000,1,01211310121;21001203;200000303,1367000000
31,119600000,0,1.03E+12,734000000
29,211900000,0,TD11300027000;21001203;01030500560002;01030500510002,703000000
37,63700000,1,WR0001B;01030500510002;10511008001004000,33000000
33,540800000,1,10511008001278000;10-01-20-024-0059-0000;TD11300035000;10511008000996000,1197000000
24,531700000,0,1.01E+18,870000000
50,471900000,1,10511008001166004;01030500560002,783000000
27,4817800000,1,01211210121;10141114700031;TD11330029000,582000000
54,5710900000,1,01020400490001;01012000200000000003,1434000000
30,1121900000,0,1211210122,336000000
34,903500000,1,1.01E+13,341000000
37,1029600000,0,1.00E+12,1498000000
41,1326000000,1,1211210113,1358000000
47,1121900000,0,10-047-1360-0002;10141114700031,386000000
31,126100000,0,WR0001B,966000000
31,980200000,0,1001202000002;10-01-20-388-0002,1367000000
43,1352000000,0,21001236;10521001001177000;10-047-1360-0002,1105000000
37,158600000,1,TD11300035000;10-01-20-024-0046-0000;200000303;TD11300027000,1433000000
30,1144000000,0,10-01-30-031-0037-0000;10527001001272000;10140110400011;21000111,174000000
41,651300000,1,10120114300011;010300100335;1001202000002,750000000
36,5769400000,0,1.02E+12,774000000
35,0,1,200000303;TD11300031000;TD11300027000,1169000000
29,352300000,1,01030500510002;10511008001004000,909000000
35,132600000,1,TD11300027000,712000000
31,2600000,1,10511008001004000;21001203;TD11300036000,578000000
35,5421000000,1,52;1001303001004,1438000000
34,110500000,1,10-01-20-024-0059-0000,970000000
31,560300000,1,10-01-20-388-0002;10-003-1384-0001,178000000
44,1276600000,1,1001303001001;10527001001278000,1306000000
36,530400000,1,1.01E+18,152000000
35,6268600000,0,TD11330029000;010200100092;01020400490002;01020400530001,316000000
41,1625000000,1,1.02E+12,1253000000
31,280800000,0,21001115;01030500600002;10-01-20-024-0046-0000;00320342,1007000000
34,1569100000,1,1.01E+13,1069000000
32,1028300000,1,1001303001004;21000111;1001303001001,1240000000
36,1103700000,1,01211210122;10527001001272000;10521001001177000;230-0119-85,910000000
30,310700000,0,WR0001B,1141000000
37,1574300000,1,3010,1463000000
36,778700000,1,01211310127;10120114700011;10-003-1387-0001;1001202000002,1452000000
31,1072500000,1,10-01-30-355-0005;010200100092;21000111;10527001001272000,959000000
27,2837900000,0,1001303001005;10-059-1264-0001,1237000000
34,5848700000,1,10-01-30-031-0037-0000;01211210122;10140110400011,475000000
30,1675700000,1,21001236,286000000
32,6064500000,0,1.02E+12,929000000
37,4323800000,0,230-0119-85;01211210122;00266451;52,586000000
32,1017900000,1,21001236;10527001001278000,1254000000
33,0,0,01211310121;21001203;WR0001B,1455000000
35,1292200000,0,21001116;10527001001272000;03010,473000000
35,1760200000,0,10521001001177000;21001236;010200100092,514000000
30,310700000,1,00320342;TD11300036000;TD11300031000,226000000
45,404300000,1,TD11300027000;01211310121,615000000
45,193700000,0,TD11300027000;21001203;01030500560002;00320342,394000000
33,1903200000,1,01211210122;01020400490002;21001236;01020400530001,1193000000
44,7504900000,1,10527001000925000;10527001001278000;230-0119-85,904000000
40,361400000,1,TD11300036000;01030500560002;21001115,366000000
31,3783000000,1,230-0119-85;220002301;10-047-1360-0002;21001236,783000000
30,703300000,1,10-003-1381-0001,1234000000
44,1640600000,1,1.01E+13,872000000
34,699400000,1,21001203;01030500510002,108000000
37,162500000,0,200000301;10511008001004000;TD11300027000;21001203,743000000
28,0,0,WR0001B;10-01-20-024-0046-0000,222000000
32,806000000,1,4;10120114300011;10-003-1387-0001,1411000000
37,410800000,0,21001203;10511008001004000;01030500510002;01211310121,327000000
34,2973100000,1,10-01-30-031-0037-0000;10-01-30-355-0005;1001303001005;03010,851000000
38,257400000,0,200000301,1487000000
28,598000000,0,WR0001F;010300100335;05100;10120114700011,1486000000
31,1488500000,1,10527001001272000;1001303001004;00266451;21000111,102000000
59,28600000,0,10511008000996000;10511008001004000,621000000
24,890500000,0,WR0001L,77000000
26,1171300000,1,03010;01211210121,208000000
59,456300000,0,21001115;TD11300027000,932000000
30,0,0,01211310121;10-01-20-024-0046-0000,1329000000
37,356200000,0,01211310121;TD11300031000;WR0001B,739000000
30,276900000,1,10-01-20-024-0046-0000;21001115;21001203;10511008000996000,1376000000
25,126100000,1,01030500560002;10511008000996000;10511008001166004;01211310121,1077000000
44,66300000,0,WR0001B,1318000000
29,408200000,1,TD11300036000,423000000
26,8892000000,1,01211210121;1001303001004;TD11330029000,28000000
26,868400000,1,01013000110000000001;1001202000002,146000000
27,70200000,0,00320342;TD11300031000;10511008001278000,1250000000
25,1614600000,0,TD11330029000;52;01020400490002;01020400380001,1315000000
28,379600000,1,21001115;TD11300036000;10511008001004000;10-01-20-024-0046-0000,975000000
23,864500000,1,WR0001L;10-003-1381-0001;05100;10-003-1387-0001,1337000000
34,1375400000,1,1001303001001;10140110400011,821000000
28,1233700000,1,10521001001177000;10527001000925000,710000000
51,787800000,1,1.01E+13,1205000000
35,0,0,01211310121;10511008001278000,1026000000
35,525200000,0,1001202000002;WR0001F;010300100335;01211310127,864000000
56,323700000,1,01030500510002;200000303;TD11300031000,1331000000
45,4360200000,1,03010;01211210113;00266451;10-047-1360-0002,324000000
60,0,1,10511008001278000;01211310121;21001115,85000000
56,765700000,1,10120114700011;10120114300011,428000000
27,16842800000,1,10141114700031;10521001001177000,1089000000
30,1134900000,0,21001236;03010;01020400530001,1005000000
45,772200000,1,10120116100011;01013000110000000001,598000000
29,26000000,1,WR0001B,606000000
38,6099600000,0,03010;21000111,524000000
30,631800000,0,10120116100011;01211310127;10-003-1387-0001,381000000
44,2070900000,1,010200100092;01211210121,1497000000
36,9887800000,0,10200100092,370000000
38,293800000,1,TD11300036000;21001115,1469000000
36,475800000,0,TD11300035000;01030500510002;10511008001004000;01030500600002,869000000
37,20800000,1,TD11300031000;10511008001278000,302000000
35,734500000,0,4;05100,135000000
38,24700000,1,01030500560002;10-01-20-024-0059-0000;TD11300031000;10-01-20-024-0046-0000,831000000
40,1406600000,1,TD11330031000;21000111;010200100092;01211210113,758000000
42,2226900000,1,01020400530001;TD11330031000,41000000
46,18825300000,0,01020400610001;03010,1254000000
35,7441200000,1,21001116,357000000
34,1886300000,0,1001303001001;21001236,1014000000
32,44200000,0,200000301,146000000
50,4776200000,0,00266451;10527001000925000;10-01-30-031-0037-0000,665000000
35,907400000,1,200-0135-12;10-003-1387-0001;10-01-20-388-0002,1005000000
36,5376800000,1,010200100092;01020400610001;21001116,890000000
53,3452800000,1,10-01-30-031-0018-0000,306000000
46,3775200000,1,03010;01211210122;21001116,1299000000
26,1305200000,0,21001236;10527001000925000,1398000000
45,533000000,0,06492;10-003-1384-0001;10120116100011,865000000
31,0,0,1.03E+12,973000000
29,0,0,21001115;01030500560002,344000000
