age,money,gender,salary,product
59,3045900000,0,156000000,"['WR0001L', '10527001001278000', '10140110400011']"
56,58500000,0,1341000000,['10140114300011']
41,1651000000,1,139000000,['10521001001177000']
55,3218800000,1,846000000,"['10-059-1264-0001', '220002301', '21001203', '10527001000925000', '01211210122']"
54,239200000,1,1325000000,"['10-01-30-031-0018-0000', 'TD11330031000']"
42,0,0,324000000,"['WR0001B', 'TD11330031000']"
56,1079000000,1,728000000,[]
60,708500000,1,1357000000,"['01012000210000000000', '010200100104', '230-0119-85']"
37,1300000,0,696000000,[]
28,6617000000,0,653000000,"['01211310121', '220002701', '21001116', '10-01-30-031-0037-0000']"
38,130000000,0,1044000000,"['10511008001278000', 'TD11330031000']"
30,401700000,0,603000000,['10511008001004000']
29,258700000,1,871000000,[]
46,598000000,1,756000000,['10-047-1387-0001']
31,913900000,0,967000000,[]
35,4988100000,1,1441000000,[]
32,794300000,0,617000000,['01211210113']
49,10400000,0,693000000,"['TD11330031000', 'TD11300031000']"
41,71500000,1,780000000,"['01030500510002', '010200100051', '1001303001003', '10120116100011', '010200100092']"
49,218400000,1,1068000000,"['200000303', '10-047-1381-0001', '05100']"
28,1020500000,1,1136000000,[]
43,2687100000,0,1368000000,"['01211310121', '21001116', '10141109800021', '10521001000846001']"
43,504400000,0,951000000,"['06492', '10511008001278000', '1001303001001', '01030500560002']"
43,249600000,1,896000000,"['1001303001001', '10-003-1384-0001', '52', 'WR0001F']"
37,495300000,0,1418000000,[]
35,52000000,1,160000000,"['010200100104', '01030500510002']"
31,28600000,1,824000000,"['10-01-30-355-0002', 'WR0001B', '200000301']"
43,3900000,1,32000000,"['01211210113', '220002301', '03202']"
31,399100000,1,1204000000,"['10521001001177000', '4', '010200100104', 'TD11330029000', '01211210122']"
28,986700000,0,693000000,[]
32,1300000,1,514000000,"['10-047-1381-0001', '01211210113']"
60,84500000,0,1215000000,"['10-003-1381-0001', '10-01-30-031-0018-0000', '00266451']"
26,106600000,0,735000000,"['01211210113', '10-01-20-024-0046-0000', '10120110400011', '10-047-1387-0001', '10-01-20-388-0002']"
40,13000000,1,646000000,"['10-003-1225-0001', 'TD11300031000', '220002701']"
33,507000000,1,489000000,[]
32,404300000,1,982000000,"['220002101', '01012000200000000003', '21001203']"
35,538200000,0,272000000,['220002501']
33,6500000,1,1311000000,"['10511008001166004', '10-047-1381-0001', '10140110400011']"
38,154700000,0,1278000000,"['10-01-20-024-0059-0000', '00320342', '230-0119-85', '21001203']"
23,5200000,0,1043000000,"['21001259', 'TD11300035000']"
60,1640600000,1,1217000000,"['220002301', '01211310130', '10521001001177000', '01211310127']"
48,2533700000,0,217000000,"['10141116600001', '01211210113', '10-01-30-355-0002']"
45,513500000,1,222000000,[]
36,1514500000,1,91000000,"['1001303001005', 'TD11330030000', '010200100092', '10527001000925000']"
52,2912000000,0,863000000,['01030500510002']
35,390000000,0,249000000,"['010200100092', '220002101', '01211310127']"
43,4270500000,0,83000000,[]
52,5099900000,1,526000000,"['01020400490002', '10-01-30-031-0018-0000']"
53,1875900000,1,138000000,"['10-01-20-024-0046-0000', 'TD11330031000', '21001115', '03010', 'TD11300036000']"
48,31200000,1,1257000000,['010200100104']
41,2103400000,1,244000000,"['010200100104', '4']"
39,672100000,0,891000000,"['1001303001004', '010200100104', '10511008001278000', '05100']"
59,1977300000,0,285000000,[]
41,3669900000,1,1249000000,[]
48,1826500000,1,1278000000,"['10141114300011', '01020400490002', '21001116']"
40,1995500000,0,1281000000,[]
48,2074800000,0,1442000000,"['220002301', '21001259', '230-0119-85', '01211310127', 'TD11300031000']"
60,2004600000,1,264000000,"['010200100104', '10511008001278000', '01211210113', '10-059-1264-0001']"
40,4747600000,0,188000000,"['1001303001004', '00320342', '21001203', '10-059-1264-0001']"
57,1300000,0,700000000,"['1001303001005', 'TD11330030000', '10527001001278000', '1001202000002']"
51,9334000000,1,1256000000,"['220002101', '10-003-1381-0001', '10120110400011', '10120116100011', '010200100104']"
41,6878300000,0,359000000,"['10527001000925000', '21000111']"
41,1799200000,1,309000000,"['1001202000002', '06492', '01211310121', '220002501']"
52,248300000,1,1181000000,"['10-047-1387-0001', '01211210121', '10-01-20-388-0002', '03010']"
59,416000000,0,284000000,"['TD11330030000', '010200100092', '10-01-20-024-0059-0000', '01013000110000000001']"
44,189800000,1,58000000,"['010200100092', 'WR0001L', '4']"
49,443300000,0,859000000,['01020400510001']
40,11700000,1,747000000,[]
41,397800000,1,743000000,"['01030500560002', '01211310121', '03010']"
44,5954000000,0,521000000,"['10-003-1387-0001', 'TD11330029000', '01211310121']"
60,406900000,0,780000000,"['10527001001278000', '10141114700031', 'TD11300035000', '01211210110']"
29,13748800000,1,498000000,"['1001303001001', '01211210110']"
41,302900000,0,237000000,"['220002701', '03100', '01211310121', '00266451']"
41,3188900000,1,1280000000,"['TD11330032000', 'TD11300035000', '220002701']"
42,1773200000,1,1177000000,['10120114300011']
36,365300000,1,1212000000,"['200000301', '10140110400011', '10141114700031']"
39,122200000,0,609000000,['01211310130']
31,187200000,1,823000000,"['10511008000996000', '1001303001004']"
26,319800000,1,1367000000,"['01211310130', '010200100092', '010200100104', '10521001000846001', '21001199']"
31,119600000,0,734000000,"['10-003-1225-0001', 'WR0001B']"
29,211900000,0,703000000,"['10521001000846001', '10-003-1384-0001', '1001202000002', '200000301', '10-01-30-031-0037-0000']"
37,63700000,1,33000000,"['10-01-30-031-0037-0000', '03100', '21001259']"
33,540800000,1,1197000000,"['01211210110', '10527001001278000', '200000301', '10521001000846001']"
24,531700000,0,870000000,"['1001303001005', '21001116', '01211210110']"
50,471900000,1,783000000,"['01030500510002', '01013000110000000001']"
27,4817800000,1,582000000,"['10141114700031', '01020400610001', 'TD11330029000', '10511008001004000']"
54,5710900000,1,1434000000,[]
30,1121900000,0,336000000,[]
34,903500000,1,341000000,"['10140114700031', '10-01-20-024-0059-0000', '10120114300011', '10521001001177000', '01013000110000000001']"
37,1029600000,0,1498000000,"['010200100104', '10141114300011', '10120110400011']"
41,1326000000,1,1358000000,"['03010', '21000111', '05100', '10120114700011']"
47,1121900000,0,386000000,[]
31,126100000,0,966000000,"['01020400380001', '220002301']"
31,980200000,0,1367000000,[]
43,1352000000,0,1105000000,[]
37,158600000,1,1433000000,[]
30,1144000000,0,174000000,"['10511008001004000', '10-003-1384-0001', '52', '10527001001278000', '21001203']"
41,651300000,1,750000000,"['10-003-1387-0001', 'TD11330030000', '10-047-1365-0001', '230-0119-85']"
36,5769400000,0,774000000,"['01020400530001', '10521001000846001']"
35,0,1,1169000000,"['220002101', '10527001001278000', '10-059-1264-0001', '10-003-1387-0001', '220002701']"
29,352300000,1,909000000,"['TD11300031000', '10-01-30-031-0037-0000', 'TD11300027000', '10-003-1381-0001']"
35,132600000,1,712000000,"['06492', '10-01-20-388-0002', 'TD11330031000', '10-003-1381-0001']"
31,2600000,1,578000000,"['10521001000846001', '010200100092', '21001199', '01020400380001', '01020400510001']"
35,5421000000,1,1438000000,"['10-01-20-024-0046-0000', '010300100335', '03100', 'WR0001F']"
34,110500000,1,970000000,['01211210122']
31,560300000,1,178000000,"['10-003-1387-0001', '230-0119-85', '03010']"
44,1276600000,1,1306000000,['10511008001278000']
36,530400000,1,152000000,"['200000303', '21000111', 'TD11330031000', '010200100051', '1001303001005']"
35,6268600000,0,316000000,[]
41,1625000000,1,1253000000,[]
31,280800000,0,1007000000,"['00320342', '10-003-1381-0001', '03100', '01012000200000000003']"
34,1569100000,1,1069000000,"['01012000210000000000', '01211310130']"
32,1028300000,1,1240000000,['10-01-30-031-0037-0000']
36,1103700000,1,910000000,['10-047-1381-0001']
30,310700000,0,1141000000,"['01211310127', '01020400530001', '220002301', '10-01-30-031-0037-0000']"
37,1574300000,1,1463000000,"['01211210122', '1001303001004']"
36,778700000,1,1452000000,[]
31,1072500000,1,959000000,"['01020400490002', '10-01-30-355-0002', '10141116600001', '10-01-30-355-0005']"
27,2837900000,0,1237000000,[]
34,5848700000,1,475000000,"['220002101', '10140114700031', '10527001000925000', '1001303001001']"
30,1675700000,1,286000000,"['01211310121', '10-01-30-031-0037-0000', 'TD11300031000']"
32,6064500000,0,929000000,"['10-01-30-355-0002', '01013000110000000001', '03010', '10141116600001']"
37,4323800000,0,586000000,[]
32,1017900000,1,1254000000,[]
33,0,0,1455000000,"['200-0135-12', '10-01-30-355-0005', '05100', '01020400610001']"
35,1292200000,0,473000000,"['1001303001004', '230-0119-85', '01211210110', '10527001001278000']"
35,1760200000,0,514000000,"['TD11330029000', '21001259', '10-003-1225-0001']"
30,310700000,1,226000000,"['200-0135-12', '1001303001001', '01012000210000000000']"
45,404300000,1,615000000,[]
45,193700000,0,394000000,[]
33,1903200000,1,1193000000,[]
44,7504900000,1,904000000,"['1001202000002', '00320342', '01211210113', '10141109800021']"
40,361400000,1,366000000,"['TD11330031000', '01211310130', '220002701', '10-003-1384-0001', '06492']"
31,3783000000,1,783000000,"['010200100104', '010200100051', '220002701', 'WR0001B', '10-003-1225-0001']"
30,703300000,1,1234000000,['01030500560002']
44,1640600000,1,872000000,"['TD11300036000', '10527001001272000', '10-01-30-031-0037-0000']"
34,699400000,1,108000000,['230-0119-85']
37,162500000,0,743000000,['10511008001278000']
28,0,0,222000000,"['TD11300031000', '10-01-20-024-0046-0000', '10140110400011', '03100', '1001303001001']"
32,806000000,1,1411000000,[]
37,410800000,0,327000000,['10-003-1384-0001']
34,2973100000,1,851000000,['01030500600002']
38,257400000,0,1487000000,['TD11330031000']
28,598000000,0,1486000000,"['10521001001177000', '220002101', '10-047-1381-0001', '00320342', '200000303']"
31,1488500000,1,102000000,"['01211310127', '10511008001166004', '21001116', '00320342']"
59,28600000,0,621000000,"['10-003-1387-0001', '10-047-1365-0001', '10527001000925000']"
24,890500000,0,77000000,[]
26,1171300000,1,208000000,"['4', 'TD11330032000']"
59,456300000,0,932000000,"['200000301', 'TD11300036000', '01030500600002']"
30,0,0,1329000000,"['TD11330031000', '10140114300011', '10-01-20-024-0046-0000', '10-047-1365-0001', 'WR0001B']"
37,356200000,0,739000000,"['TD11330031000', '01211310127', 'TD11300027000']"
30,276900000,1,1376000000,['TD11330029000']
25,126100000,1,1077000000,"['10-047-1365-0001', '21001199']"
44,66300000,0,1318000000,"['10141114300011', 'WR0001F', '10141116600001']"
29,408200000,1,423000000,"['01211310121', '10141114300011']"
26,8892000000,1,28000000,"['01012000210000000000', '01013000110000000001', '1001303001003', '10511008001166004']"
26,868400000,1,146000000,['01020400490002']
27,70200000,0,1250000000,"['01012000200000000003', '10-003-1381-0001']"
25,1614600000,0,1315000000,"['21000111', 'TD11300035000', '1001303001004', '10141114700031', '010200100104']"
28,379600000,1,975000000,[]
23,864500000,1,1337000000,"['200000303', '21001116', '10527001000925000', '21000111']"
34,1375400000,1,821000000,[]
28,1233700000,1,710000000,['220002101']
51,787800000,1,1205000000,[]
35,0,0,1026000000,"['1001303001004', 'TD11300031000', '10-003-1225-0001', '200000301']"
35,525200000,0,864000000,['10-003-1381-0001']
56,323700000,1,1331000000,['1001303001005']
45,4360200000,1,324000000,[]
60,0,1,85000000,"['WR0001B', '21001236', '010200100092']"
56,765700000,1,428000000,"['21000111', '01020400510001', '01020400610001', '10120110400011']"
27,16842800000,1,1089000000,[]
30,1134900000,0,1005000000,['10140110400011']
45,772200000,1,598000000,[]
29,26000000,1,606000000,"['1001303001004', '010300100335']"
38,6099600000,0,524000000,['10527001001272000']
30,631800000,0,381000000,['01211310127']
44,2070900000,1,1497000000,['10-003-1381-0001']
36,9887800000,0,370000000,['10120110400011']
38,293800000,1,1469000000,"['21001199', '10120110400011', '01013000110000000001', '010300100335', 'WR0001L']"
36,475800000,0,869000000,[]
37,20800000,1,302000000,"['1001303001005', '10527001001272000', '010300100335', '21000111']"
35,734500000,0,135000000,['010200100051']
38,24700000,1,831000000,"['21001115', '10-01-30-355-0005', '06492', '10-003-1225-0001']"
40,1406600000,1,758000000,['WR0001L']
42,2226900000,1,41000000,['21001259']
46,18825300000,0,1254000000,"['TD11330032000', '10-01-20-388-0002', '1001202000002', '01030500600002']"
35,7441200000,1,357000000,[]
34,1886300000,0,1014000000,"['21001203', '10120116100011', '00320342', '10-01-20-024-0059-0000']"
32,44200000,0,146000000,['10-01-30-355-0005']
50,4776200000,0,665000000,[]
35,907400000,1,1005000000,"['21001259', '10-003-1225-0001', '10511008000996000', '10140114700031']"
36,5376800000,1,890000000,"['21001236', '1001303001005']"
53,3452800000,1,306000000,"['TD11300031000', '10527001000925000', '10-003-1381-0001', '10521001000846001', '230-0119-85']"
46,3775200000,1,1299000000,['21001115']
26,1305200000,0,1398000000,"['01030500510002', '10140114700031', '00266451']"
45,533000000,0,865000000,['220002301']
31,0,0,973000000,"['10521001000846001', '01030500600002', '01211310127', '10120114300011', '220002701']"
29,0,0,344000000,[]
53,80600000,0,1342000000,[]
27,540800000,0,888000000,[]
39,3591900000,0,650000000,"['1001202000002', '01013000110000000001']"
36,3879200000,0,1396000000,[]
41,185900000,0,515000000,['10521001000846001']
36,0,0,635000000,[]
32,904800000,0,153000000,"['21001115', '10120116100011', '21001259']"
35,197600000,1,1088000000,"['TD11330031000', '10-059-1264-0001', '010200100051', '10-01-30-355-0002', '21001259']"
36,101400000,1,402000000,"['200-0135-12', '53']"
35,1127100000,0,1340000000,['21001199']
30,1238900000,1,456000000,['220002301']
42,575900000,1,1326000000,"['10-047-1365-0001', '21001199']"
42,1467700000,1,153000000,"['01030500560002', '21001259']"
32,539500000,0,1143000000,"['220002301', '10-003-1225-0001', '03100']"
29,338000000,1,1160000000,['220002101']
44,534300000,0,162000000,"['TD11330032000', '1001202000002']"
32,1662700000,1,985000000,"['10-003-1225-0001', '10-047-1365-0001', 'TD11300035000', '21001199', '1001303001005']"
31,111800000,0,702000000,['010200100104']
40,980200000,1,249000000,[]
